id,gu_name,name,rate,address,x_pos,y_pos,main_dishes,price,image_path
20,종로구,고량주관,4.6,서울시 종로구 관철동 11-11,37.5685803,126.9861475,정통 중식 / 일반 중식,만원-2만원,../img/food_img/20.png
21,종로구,비엘티스테이크,4.5,서울시 종로구 종로6가 289-3 JW메리어트 호텔 동대문 스퀘어 서울 2F,37.5703941,127.0089126,스테이크 / 바베큐,4만원 이상,../img/food_img/21.png
22,종로구,호가양꼬치,4.5,서울시 종로구 수송동 71-1,37.5728546,126.9807683,기타 중식,2만원-3만원,../img/food_img/22.png
23,종로구,물랑,4.5,서울시 종로구 창성동 87-1 1F,37.5814803,126.9718931,프랑스 음식,4만원 이상,../img/food_img/23.png
24,종로구,찰스에이치,4.5,서울시 종로구 당주동 30 포시즌스호텔 서울 B1,37.57071,126.9754143,칵테일 / 와인,3만원-4만원,../img/food_img/24.png
25,종로구,후니도니,4.5,서울시 종로구 종로1가 24 르메이에르종로타운 B1,37.5709593,126.9798759,까스 요리,만원-2만원,../img/food_img/25.png
26,종로구,백부장집닭한마리,4.5,서울시 종로구 공평동 129,37.5718253,126.9826896,닭 / 오리 요리,만원-2만원,../img/food_img/26.png
27,종로구,버거파크,4.5,서울시 종로구 명륜4가 101-2 1F,37.582166,127.0013799,브런치 / 버거 / 샌드위치,만원-2만원,../img/food_img/27.png
28,종로구,오레노라멘,4.5,서울시 종로구 안국동 159 1F,37.5765769,126.9845745,라멘 / 소바 / 우동,만원 미만,../img/food_img/28.png
29,종로구,아키비스트,4.5,서울시 종로구 효자동 164-7 1F,37.5822158,126.9726772,카페 / 디저트,만원 미만,../img/food_img/29.png
30,종로구,도마유즈라멘,4.5,서울시 종로구 재동 84-6,37.5778278,126.9864827,라멘 / 소바 / 우동,만원-2만원,../img/food_img/30.png
31,종로구,핏제리아오,4.4,서울시 종로구 동숭동 31-37 3F,37.5821048,127.0043083,이탈리안,만원-2만원,../img/food_img/31.png
32,종로구,파네트크루아상팩토리,4.4,서울시 종로구 내수동 71 경희궁의아침 1F,37.573978,126.971081,베이커리,만원 미만,../img/food_img/32.png
33,종로구,오죽이네,4.4,서울시 종로구 익선동 156,37.5738005,126.9907729,닭 / 오리 요리,만원-2만원,../img/food_img/33.png
34,종로구,논데,4.4,서울시 종로구 관수동 98-1 하이뷰디아트 2F,37.568661,126.9914879,회 / 스시,3만원-4만원,../img/food_img/34.png
35,종로구,도취,4.4,서울시 종로구 누상동 53-1 누상빌라 B1,37.5808568,126.9670792,퓨전 한식,2만원-3만원,../img/food_img/35.png
36,종로구,라뚜셩트,4.4,서울시 종로구 동숭동 5-7 1F,37.5838408,127.0051888,카페 / 디저트,만원 미만,../img/food_img/36.png
37,종로구,부빙,4.4,서울시 종로구 부암동 254-2,37.5927627,126.965401,카페 / 디저트,만원 미만,../img/food_img/37.png
38,종로구,공기식당,4.4,서울시 종로구 통인동 46-5 1F,37.580322,126.9695263,돈부리 / 일본 카레 / 벤토,만원-2만원,../img/food_img/38.png
39,종로구,독일주택,4.4,서울시 종로구 명륜4가 45-1,37.5829925,127.0005556,치킨 / 호프 / 펍,만원-2만원,../img/food_img/39.png
40,종로구,육회자매집,4.4,서울시 종로구 종로4가 177 제우빌딩,37.570549,126.999866,고기 요리,2만원-3만원,../img/food_img/40.png
41,종로구,김진목삼,4.4,서울시 종로구 필운동 154 1F,37.5768618,126.9695631,고기 요리,만원-2만원,../img/food_img/41.png
42,종로구,포비브라이트,4.4,서울시 종로구 신문로1가 115 콘코디언빌딩 1F,37.5697569,126.973165,카페 / 디저트,만원 미만,../img/food_img/42.png
43,종로구,톤티커피,4.4,서울시 종로구 재동 85-1,37.5776438,126.9863047,카페 / 디저트,만원 미만,../img/food_img/43.png
44,종로구,렁팡스,4.4,서울시 종로구 신문로2가 1-102 3F,37.5729354,126.9700818,프랑스 음식,3만원-4만원,../img/food_img/44.png
45,종로구,개성철렵,4.4,서울시 종로구 삼청동 28-19 RH타운 1F,37.5863185,126.9819846,기타 한식,만원-2만원,../img/food_img/45.png
46,종로구,중국,4.4,서울시 종로구 청운동 59-1,37.5862071,126.9697665,정통 중식 / 일반 중식,만원 미만,../img/food_img/46.png
47,종로구,김진목삼,4.4,서울시 종로구 체부동 68,37.5769438,126.9718793,고기 요리,만원-2만원,../img/food_img/47.png
48,종로구,포항,4.4,서울시 종로구 창신동 534,37.5723037,127.0120409,베트남 음식,만원 미만,../img/food_img/48.png
49,종로구,뼈탄집,4.4,서울시 종로구 내자동 9-2,37.5764175,126.9716688,고기 요리,만원-2만원,../img/food_img/49.png
50,종로구,다차공간,4.4,서울시 종로구 관훈동 72 4F,37.5745509,126.9844635,카페 / 디저트,4만원 이상,../img/food_img/50.png
51,종로구,미트볼라운지,4.4,서울시 종로구 팔판동 27-5,37.5833476,126.9816804,이탈리안,만원-2만원,../img/food_img/51.png
52,종로구,깡통만두,4.3,서울시 종로구 재동 84-22 1F,37.5781622,126.9860854,한정식 / 백반 / 정통 한식,만원 미만,../img/food_img/52.png
53,종로구,Osso파스타,4.3,서울시 종로구 동숭동 129-130,37.5805436,127.0057201,기타 양식,만원-2만원,../img/food_img/53.png
54,종로구,소금집델리 안국,4.3,서울시 종로구 계동 101-12 1F,37.5794399,126.9862502,브런치 / 버거 / 샌드위치,만원-2만원,../img/food_img/54.png
55,종로구,칸다소바,4.3,서울시 종로구 체부동 28-2 1F,37.5781613,126.9712751,라멘 / 소바 / 우동,만원 미만,../img/food_img/55.png
56,종로구,포비,4.3,서울시 종로구 청진동 246 디타워 1F 21호,37.5710694,126.978929,카페 / 디저트,만원 미만,../img/food_img/56.png
57,종로구,이다,4.3,서울시 종로구 권농동 141-5,37.577028,126.9917054,퓨전 한식,만원-2만원,../img/food_img/57.png
58,종로구,순희네빈대떡,4.3,서울시 종로구 종로5가 138-9,37.5706201,127.0007269,한정식 / 백반 / 정통 한식,만원 미만,../img/food_img/58.png
59,종로구,독도16도,4.3,서울시 종로구 청운동 59-5 1F,37.5862161,126.9693581,전통 주점 / 포차,만원-2만원,../img/food_img/59.png
60,종로구,아키라백,4.3,서울시 종로구 당주동 30 포시즌스호텔 서울 12F,37.57071,126.9754143,퓨전 일식,4만원 이상,../img/food_img/60.png
61,종로구,창신육회,4.3,서울시 종로구 종로4가 165-3,37.5704563,126.9998554,고기 요리,만원-2만원,../img/food_img/61.png
62,종로구,평안도만두집,4.3,서울시 종로구 내수동 167 대우복합빌딩 B1,37.5727748,126.9732574,탕 / 찌개 / 전골,만원-2만원,../img/food_img/62.png
63,종로구,뚝배기집,4.3,서울시 종로구 관철동 5-1,37.5695563,126.9885064,한정식 / 백반 / 정통 한식,만원 미만,../img/food_img/63.png
64,종로구,키즈나,4.3,서울시 종로구 소격동 159,37.5788045,126.981637,회 / 스시,4만원 이상,../img/food_img/64.png
